pdbid cs_true rmsd_true cs_pred rmsd_pred max_tanimoto mean_tanimoto
1YLS 0.57 0.66 0.903 1.09 0.28 0.17
3TZR 0.91 0.54 0.947 1.15 0.41 0.19
4LVY 0.45 0.47 0.471 0.93 0.46 0.16
2HOO 0.503 1.09 0.523 1.44 0.65 0.21
4TS2 0.141 0.58 0.327 6.18 0.69 0.3
3D2V 0.73 0.78 0.849 1.77 0.7 0.22
3E5F 0.656 0.67 0.679 7.33 0.71 0.29
4LVX 0.312 0.69 0.475 5.98 0.71 0.2
3GX2 0.967 0.92 0.967 0.92 0.72 0.35
3SUH 0.36 0.85 0.5 3.77 0.75 0.21
3F4H 0.983 0.7 0.999 1 0.79 0.2
3D2X 0.448 1.03 0.539 1.87 0.82 0.2
4YAZ 0.826 0.31 0.846 6.83 0.84 0.29
1ZZ5 0.974 0.76 0.998 1 0.89 0.4
3WRU 0.7 0.62 0.799 2.23 0.89 0.37
4PDQ 0.608 0.96 0.669 1.32 0.89 0.36
1LC4 0.688 0.61 0.846 0.86 0.94 0.42
2HOM 0.859 0.6 0.862 0.99 0.94 0.21
4QLM 0.579 0.43 0.664 0.91 0.94 0.32
4QLN 0.865 0.81 0.87 0.85 0.94 0.31
3SLQ 0.244 0.56 0.367 1.73 0.95 0.23
1EVV 0.538 1.17 0.734 1.96 1 0.14
1FUF 0.632 0.82 0.864 1.84 1 0.14
1TN1 0.708 1.22 0.966 2.41 1 0.14
1TN2 0.899 1.12 0.979 2.12 1 0.14
2CKY 0.724 1.07 0.848 2.16 1 0.21
2EEU 0.639 0.8 1 0.86 1 0.17
2EEV 0.891 0.24 1 0.35 1 0.17
2EEW 0.957 0.8 1 0.93 1 0.17
2ET5 0.854 0.58 0.877 1.83 1 0.42
2GDI 0.789 0.81 0.816 1.86 1 0.21
2HOJ 0.892 0.77 0.892 0.77 1 0.21
2O3V 0.124 0.74 0.588 10.12 1 0.4
2O3Y 0.332 1.26 0.554 1.98 1 0.14
2QWY 0.38 0.51 0.616 1.33 1 0.34
3B4B 0.947 0.5 0.959 0.62 1 0.3
3B4C 0.991 0.48 0.995 0.5 1 0.3
3D2G 0.73 0.77 0.823 1.1 1 0.21
3DVV 0.653 0.51 0.748 0.54 1 0.42
3E5E 0.334 0.94 0.606 7.85 1 0.34
3F2Q 0.869 0.61 0.96 1.44 1 0.21
3F2T 0.893 0.72 0.985 1.32 1 0.21
3GX3 0.955 0.74 0.967 1.24 1 0.34
3GX5 0.873 0.65 0.941 1 1 0.34
3GX6 0.714 0.66 0.771 1.22 1 0.34
3GX7 0.441 0.53 0.477 1.37 1 0.34
3IQN 0.612 0.83 0.666 0.92 1 0.34
3IQR 0.886 0.95 0.899 1.92 1 0.34
3NPQ 0.413 0.81 0.519 4.04 1 0.34
3TD1 0.198 0.5 0.592 2.26 1 0.42
4F8U 0.259 0.42 0.55 1.63 1 0.42
4F8V 0.868 0.25 0.985 0.46 1 0.42
4FAW 0.416 1.32 0.602 2.73 1 0.14
4GPW 0.657 0.56 0.997 0.66 1 0.42
4GPX 0.719 0.57 0.821 1.48 1 0.42
4GPY 0.787 0.35 0.921 0.87 1 0.42
4LW0 0.899 0.93 0.912 0.99 1 0.18
4P20 0.842 0.71 0.903 1.17 1 0.37
4TZX 0.616 0.31 1 0.4 1 0.18
4TZY 0.636 0.25 1 0.48 1 0.18
