pdbid ligandrna drugscore dock6 ligandrna_dock6 mol_features
1aju 2.3 5.6 5.3 2.3 1.4
1am0 4.6 5.7 1.4 1.7 1.7 
1byj 6.8 2.0 7.4 6.8 2.9 
1eht 4.5 3.8 0.3 1.4 0.7
1ei2 6.9 6.9 5.9 6.6 7.6 
1f1t 1.1 1.2 1.2 1.2 0.7 
1f27 6.7 1.5 6.9 7.0 1.9
1fmn 2.9 2.2 2.9 2.9 1.4 
1fyp 5.1 5.1 3.2 1.2 4.8 
1j7t 8.6 2.6 1.1 8.6 2.1
1koc 2.3 2.1 2.6 2.2 1.7 
1kod 1.9 5.1 5.3 2.0 2.2 
1mwl 6.8 0.7 9.2 7.5 0.5
1nem 9.3 1.1 0.7 1.2 8.3 
1pbr 6.2 8.3 8.5 8.9 7.8 
1q8n 1.3 1.1 7.7 2.0 1.6
1tob 2.6 3.5 4.8 2.3 8.5 
1uts 4.4 9.5 4.2 9.7 7.7 
1uud 6.4 5.4 5.4 5.4 1.7
1uui 5.6 1.5 1.5 1.5 1.2 
1xpf 3.4 6.6 6.6 3.3 4.6 
1y26 0.5 30.5 0.5 0.5 0.6
2be0 10.7 9.5 3.5 10.7 1.1 
2bee 9.3 4.5 9.3 9.2 1.9 
2et8 0.8 4.6 0.7 0.8 1.1
4f4u 1.0 3.0 1.9 1.0 1.3 
4fcz 0.6 7.2 0.9 0.6 1.1 
2fd0 4.6 3.5 3.5 4.6 2.0
2g5q 0.7 0.5 1.6 1.4 0.8 
2o3x 0.7 2.4 2.1 0.8 2.1 
2oe5 0.7 15.7 5.6 0.7 0.9
2tob 1.0 1.0 1.5 1.5 1.1 

